id,text
welcome,{sp:16}WELCOME TO ADVENTURE!!\n\n{sp:6}Original development by {^}W{/^}illie {^}C{/^}rowther\n{sp:9}Major features added by {^}D{/^}on {^}W{/^}oods.\n{sp:13}This port by {^}O{/^}li {^}H{/^}owson.\n\nWould you like instructions?
want_instructions,"Please answer the question.  Would you like instructions?"
unknown_command,I don't know that word.
no_item_detail,Sorry but I am not allowed to give more detail.
instructions,"Somewhere nearby is {^}C{/^}olossal Cave, where others have found fortunes in treasure and gold, though it is rumoured that some who enter are never seen again. Magic is said to work in the cave. I will be your eyes and hands. Direct me with commands of 1 or 2 words.\nShould you get stuck, type ""HELP"" for some hints. FOR INFORMATION ON HOW TO END YOUR ADVENTURE, ETC., TYPE ""INFO"".)\n{sp:16}- - -\nTHIS PROGRAM WAS ORIGINALLY DEVELOPED BY {^}W{/^}illie {^}C{/^}rowther}.  MOST OF THE FEATURES OF THE CURRENT PROGRAM WERE ADDED BY {^}D{/^}on {^}W{/^}oods. This port was developed by {^}O{/^}li {^}H{/^}owson (Oli.Howson@open.ac.uk) CONTACT {^}Oli{/^} IF YOU HAVE ANY QUESTIONS, COMMENTS, ETC.\n"
no_instructions,{sp:1}

; === DEATHS ===
pit_death,YOU FELL INTO A PIT AND BROKE EVERY BONE IN YOUR BODY!

; ===  ===  ===  ===  ===  ===  === 
; === THESE ARE ALL FOR QUESTS  === 
; ===  ===  ===  ===  ===  ===  === 

; === THE LAMP === 
lamp_out,YOUR LAMP HAS RUN OUT OF POWER.
lamp_dim_buy_batts,"YOUR LAMP IS GETTING DIM.  YOU'D BEST START WRAPPING THIS UP, UNLESS YOU CAN FIND SOME FRESH BATTERIES.  I SEEM TO RECALL THERE'S A VENDING MACHINE IN THE MAZE.  BRING SOME COINS WITH YOU."
lamp_dim_batts_exist,"YOUR LAMP IS GETTING DIM.  YOU'D BEST GO BACK FOR THOSE BATTERIES."
lamp_dim_have_batts,"YOUR LAMP IS GETTING DIM.  I'M TAKING THE LIBERTY OF REPLACING THE BATTERIES"
lamp_dim_batts_used,"YOUR LAMP IS GETTING DIM, AND YOU'RE OUT OF SPARE BATTERIES.  YOU'D BEST START WRAPPING THIS UP."


; === GRATE/KEYS === 
grate_unlocked,THE GRATE IS NOW UNLOCKED.
grate_already_unlocked,IT WAS ALREADY UNLOCKED.
grate_locked,THE GRATE IS NOW LOCKED.
grate_already_locked,IT WAS ALREADY LOCKED.
no_keys,YOU HAVE NO KEYS!


; === THE BIRD/CAGE/SNAKE === 
afraid_bird,"THE BIRD WAS UNAFRAID WHEN YOU ENTERED, BUT AS YOU APPROACH IT BECOMES DISTURBED AND YOU CANNOT CATCH IT."
cant_carry_bird,"YOU CAN CATCH THE BIRD, BUT YOU CANNOT CARRY IT."
bird_attacks,"THE LITTLE BIRD ATTACKS THE GREEN SNAKE, AND IN AN ASTOUNDING FLURRY DRIVES THE SNAKE AWAY."
snake_in_way,"You can't get by the snake."
dead_bird,THE LITTLE BIRD IS NOW DEAD.  ITS BODY DISAPPEARS.
attack_snake,ATTACKING THE SNAKE BOTH DOESN'T WORK AND IS VERY DANGEROUS.
nothing_to_attack,THERE IS NOTHING HERE TO ATTACK.
pining,"IT'S NOT HUNGRY (IT'S MERELY PININ' FOR THE FJORDS).  BESIDES, YOU HAVE NO BIRD SEED."
feed_to_snake,THE SNAKE HAS NOW DEVOURED YOUR BIRD.

; === VASE/PILLOW ===
vase_resting,"THE VASE IS NOW RESTING, DELICATELY, ON A VELVET PILLOW."
break_vase,YOU HAVE TAKEN THE VASE AND HURLED IT DELICATELY TO THE GROUND.
drop_vase,THE MING VASE DROPS WITH A DELICATE CRASH.

; === OIL/BOTTLE/WATER ===
bottle_full_oil,YOUR BOTTLE IS NOW FULL OF OIL.
bottle_full_water,YOUR BOTTLE IS NOW FULL OF WATER.
door_rusty,THE DOOR IS EXTREMELY RUSTY AND REFUSES TO OPEN.
oil_frees_door,"THE OIL HAS FREED UP THE HINGES SO THAT THE DOOR WILL NOW MOVE, ALTHOUGH IT REQUIRES SOME EFFORT."
bottle_full,"YOUR BOTTLE IS ALREADY FULL."
empty_bottle,"YOUR BOTTLE IS EMPTY AND THE GROUND IS WET."
fill_not_bottle,"YOU CAN'T FILL THAT."
no_liquid,"THERE IS NOTHING HERE WITH WHICH TO FILL THE BOTTLE."
get_liquid_no_bottle,"YOU HAVE NOTHING IN WHICH TO CARRY IT."

; === FISSURE/CRYSTAL BRIDGE ===
crystal_bridge_appears,A CRYSTAL BRIDGE NOW SPANS THE FISSURE.
crystal_bridge_vanish,THE CRYSTAL BRIDGE HAS VANISHED!
no_bridge,THERE IS NO WAY ACROSS THE FISSURE. 
jump_bridge,I RESPECTFULLY SUGGEST YOU GO ACROSS THE BRIDGE INSTEAD OF JUMPING.

; === STONE TABLET ===
stone_read,{^}CONGRATULATIONS ON BRINGING LIGHT INTO THE DARK-ROOM!{/^}

; === TRIDENT/CLAM/OYSTER/PEARL ===
carrying_clam_down,YOU CAN'T FIT THIS FIVE-FOOT CLAM THROUGH THAT LITTLE PASSAGE!
carrying_clam_open,I ADVISE YOU TO PUT DOWN THE CLAM BEFORE OPENING IT.  >STRAIN!<
open_clam_no_trident,YOU DON'T HAVE ANYTHING STRONG ENOUGH TO OPEN THE CLAM.
pearl_rolls_out,"A GLISTENING PEARL FALLS OUT OF THE CLAM AND ROLLS AWAY.  GOODNESS, THIS MUST REALLY BE AN OYSTER. ({^}I{/^} NEVER WAS VERY GOOD AT IDENTIFYING BIVALVES.)  {^}W{/^}HATEVER IT IS, IT HAS NOW SNAPPED SHUT AGAIN."
carrying_oyster_down,YOU CAN'T FIT THIS FIVE-FOOT OYSTER THROUGH THAT LITTLE PASSAGE!
carrying_oyster_open,I ADVISE YOU TO PUT DOWN THE OYSTER BEFORE OPENING IT.	>WRENCH!<
open_oyster_no_trident,YOU DON'T HAVE ANYTHING STRONG ENOUGH TO OPEN THE OYSTER.
oyster_insides,"THE OYSTER CREAKS OPEN, REVEALING NOTHING BUT OYSTER INSIDE.  IT PROMPTLY SNAPS SHUT AGAIN."
attack_shell,THE SHELL IS VERY STRONG AND IS IMPERVIOUS TO ATTACK.

; === MAGAZINE ===
dwarvish_mag,I'M AFRAID THE MAGAZINE IS WRITTEN IN DWARVISH.

; === FOOD/BEAR/TROLL/CHASM ===
delicious_food,"THANK YOU, IT WAS DELICIOUS!"
bear_eats,"THE BEAR EAGERLY WOLFS DOWN YOUR FOOD, AFTER WHICH HE SEEMS TO CALM DOWN CONSIDERABLY AND EVEN BECOMES RATHER FRIENDLY."
bear_cant_eat,THERE'S NOTHING HERE IT WANTS TO EAT (EXCEPT PERHAPS YOU).
chain_unlocked,THE CHAIN IS NOW UNLOCKED.
chain_locked,THE CHAIN IS NOW LOCKED.
bear_blocks_chain,"THERE IS NO WAY TO GET PAST THE BEAR TO UNLOCK THE CHAIN, WHICH IS PROBABLY JUST AS WELL."
chain_still_locked_wall,THE CHAIN IS STILL LOCKED.
chain_still_locked_bear,THE BEAR IS STILL CHAINED TO THE WALL.
bear_chases_troll,"THE BEAR LUMBERS TOWARD THE TROLL, WHO LETS OUT A STARTLED SHRIEK AND SCURRIES AWAY.  THE BEAR SOON GIVES UP THE PURSUIT AND WANDERS BACK."
attack_troll,TROLLS ARE CLOSE RELATIVES WITH THE ROCKS AND HAVE SKIN AS TOUGH AS THAT OF A RHINOCEROS.  THE TROLL FENDS OFF YOUR BLOWS EFFORTLESSLY.
fall_in_chasm,"JUST AS YOU REACH THE OTHER SIDE, THE BRIDGE BUCKLES BENEATH THE WEIGHT OF THE BEAR, WHICH WAS STILL FOLLOWING YOU AROUND.  YOU SCRABBLE DESPERATELY FOR SUPPORT,BUT AS THE BRIDGE COLLAPSES YOU STUMBLE BACK AND FALL INTO THE CHASM."
bridge_down,THERE IS NO LONGER ANY WAY ACROSS THE CHASM.
feed_troll,"GLUTTONY IS NOT ONE OF THE TROLL'S VICES.  AVARICE, HOWEVER, IS."
no_cross,THE TROLL REFUSES TO LET YOU CROSS.
thrown_treasure,THE TROLL CATCHES YOUR TREASURE AND SCURRIES AWAY OUT OF SIGHT.
troll_steps_out,THE TROLL STEPS OUT FROM BENEATH THE BRIDGE AND BLOCKS YOUR WAY.
troll_axe,"THE TROLL DEFTLY CATCHES THE AXE, EXAMINES IT CAREFULLY, AND TOSSES IT BACK, DECLARING, ""GOOD WORKMANSHIP, BUT IT'S NOT VALUABLE ENOUGH."""
